,floor,floors_count,rooms_count,total_meters,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,underground,price_meter
4,4,7,1,25.9,2009,0,0,2,20.0,5.0,3,0,115830
13,1,3,1,25.3,2015,0,2,0,14.1,6.2,2,0,98814
23,6,6,1,38.9,2010,0,2,0,16.0,10.0,2,0,71979
26,8,10,3,64.0,1992,0,2,2,27.258127673576833,9.0,2,0,116406
28,3,10,3,62.1,1992,0,1,0,45.0,9.0,2,0,117552
30,7,24,3,77.6,2011,0,1,0,27.258127673576833,5.0,0,0,163659
32,5,10,3,63.0,1994,0,2,0,27.258127673576833,8.0,0,0,120634
42,2,14,2,38.4,2013,0,6,2,17.0,11.0,0,0,174479
49,6,6,2,56.8,2004,0,0,2,30.0,10.0,3,0,87147
56,2,10,1,59.0,2011,0,2,2,18.1,20.0,3,0,191525
58,4,6,1,38.9,2009,0,0,2,13.0,11.2,2,0,102827
63,5,9,1,50.0,2019,0,1,2,25.0,10.0,2,0,191000
74,6,6,1,31.6,2003,0,0,2,18.0,6.5,2,0,183544
81,2,9,2,69.3,2024,1,0,0,27.258127673576833,10.512563432262034,0,0,144000
82,18,18,2,70.3,2007,0,6,1,27.258127673576833,12.0,2,0,234708
84,1,9,2,75.1,2024,1,0,0,27.258127673576833,10.512563432262034,0,0,142000
86,9,9,2,54.3,1995,0,2,2,30.0,8.1,2,0,151012
87,1,9,2,67.7,2024,1,0,0,27.258127673576833,10.512563432262034,0,0,141999
89,9,9,2,69.5,2024,1,0,0,27.258127673576833,10.512563432262034,0,0,146000
92,1,9,3,86.8,2024,1,0,0,27.258127673576833,10.512563432262034,0,0,125000
93,1,2,3,92.6,2009,0,0,2,56.5,10.6,0,0,203023
94,2,5,3,64.4,2004,0,2,2,50.0,8.5,0,0,197204
105,3,10,3,105.8,2024,1,0,0,27.258127673576833,10.512563432262034,4,1,1091025
108,11,20,3,87.02,2024,1,0,0,39.1,34.3,2,1,378200
109,4,20,3,103.7,2024,1,0,0,35.2,25.5,3,1,388543
117,8,9,1,57.6,2023,1,0,4,27.258127673576833,10.512563432262034,0,1,2047499
122,10,10,1,38.5,1994,0,2,0,20.7,8.4,0,1,292987
123,5,21,1,65.9,2023,1,0,0,18.8,24.9,3,1,1246927
124,3,20,1,59.0,2023,1,0,4,39.0,15.0,3,1,1047457
125,9,14,1,38.5,1993,0,1,2,18.0,8.0,2,1,181818
126,3,15,1,54.0,2016,0,2,4,30.0,12.0,2,1,268518
134,7,40,1,43.4,2023,0,0,0,15.2,19.4,0,1,479262
